,Name,Brand,Colour,url,clean_text,tokenized,stopwords_removed,combined_postag_wnet,lemmatize_word_w_pos,lemmatize_text
0,ASOS DESIGN oversized stripe t-shirt in light blue with Chicago chest print,ASOS DESIGN,LIGHT BLUE,images.asos-media.com/products/asos-design-oversized-stripe-t-shirt-in-light-blue-with-chicago-chest-print/202362881-1-lightblue,asos design oversized stripe tshirt in light blue with chicago chest print,"['asos', 'design', 'oversized', 'stripe', 'tshirt', 'in', 'light', 'blue', 'with', 'chicago', 'chest', 'print']","['asos', 'design', 'oversized', 'stripe', 'tshirt', 'light', 'blue', 'chicago', 'chest', 'print']","[('asos', 'n'), ('design', 'n'), ('oversized', 'n'), ('stripe', 'n'), ('tshirt', 'n'), ('light', 'a'), ('blue', 'a'), ('chicago', 'n'), ('chest', 'n'), ('print', 'n')]","['asos', 'design', 'oversized', 'stripe', 'tshirt', 'light', 'blue', 'chicago', 'chest', 'print']",asos design oversized stripe tshirt light blue chicago chest print
1,Revolution Skincare Blemish 2% Salicylic Acid Mask,Revolution Skincare,No colour,images.asos-media.com/products/revolution-skincare-blemish-2-salicylic-acid-mask/21501593-1-nocolour,revolution skincare blemish 2 salicylic acid mask,"['revolution', 'skincare', 'blemish', '2', 'salicylic', 'acid', 'mask']","['revolution', 'skincare', 'blemish', '2', 'salicylic', 'acid', 'mask']","[('revolution', 'n'), ('skincare', 'n'), ('blemish', 'n'), ('2', 'n'), ('salicylic', 'n'), ('acid', 'n'), ('mask', 'n')]","['revolution', 'skincare', 'blemish', '2', 'salicylic', 'acid', 'mask']",revolution skincare blemish 2 salicylic acid mask
2,ASOS DESIGN retro square sunglasses in black plastic with smoke lens - BLACK,ASOS DESIGN,BLACK,images.asos-media.com/products/asos-design-retro-square-sunglasses-in-black-plastic-with-smoke-lens-black/201344313-1-black,asos design retro square sunglasses in black plastic with smoke lens  black,"['asos', 'design', 'retro', 'square', 'sunglasses', 'in', 'black', 'plastic', 'with', 'smoke', 'lens', 'black']","['asos', 'design', 'retro', 'square', 'sunglasses', 'black', 'plastic', 'smoke', 'lens', 'black']","[('asos', 'n'), ('design', 'n'), ('retro', 'n'), ('square', 'n'), ('sunglasses', 'n'), ('black', 'a'), ('plastic', 'n'), ('smoke', 'n'), ('lens', 'n'), ('black', 'a')]","['asos', 'design', 'retro', 'square', 'sunglass', 'black', 'plastic', 'smoke', 'lens', 'black']",asos design retro square sunglass black plastic smoke lens black
3,ASOS DESIGN 90s mini oval glasses in black with red lens,ASOS DESIGN,Black,images.asos-media.com/products/asos-design-90s-mini-oval-glasses-in-black-with-red-lens/22453139-1-black,asos design 90s mini oval glasses in black with red lens,"['asos', 'design', '90s', 'mini', 'oval', 'glasses', 'in', 'black', 'with', 'red', 'lens']","['asos', 'design', '90s', 'mini', 'oval', 'glasses', 'black', 'red', 'lens']","[('asos', 'n'), ('design', 'n'), ('90s', 'n'), ('mini', 'n'), ('oval', 'n'), ('glasses', 'n'), ('black', 'a'), ('red', 'a'), ('lens', 'n')]","['asos', 'design', '90', 'mini', 'oval', 'glass', 'black', 'red', 'lens']",asos design 90 mini oval glass black red lens
4,ASOS DESIGN relaxed shirt in aztec multi colour print,ASOS DESIGN,MULTI,images.asos-media.com/products/asos-design-relaxed-shirt-in-aztec-multi-colour-print/201781916-1-multi,asos design relaxed shirt in aztec multi colour print,"['asos', 'design', 'relaxed', 'shirt', 'in', 'aztec', 'multi', 'colour', 'print']","['asos', 'design', 'relaxed', 'shirt', 'aztec', 'multi', 'colour', 'print']","[('asos', 'n'), ('design', 'n'), ('relaxed', 'n'), ('shirt', 'n'), ('aztec', 'n'), ('multi', 'n'), ('colour', 'n'), ('print', 'n')]","['asos', 'design', 'relaxed', 'shirt', 'aztec', 'multi', 'colour', 'print']",asos design relaxed shirt aztec multi colour print
5,ASOS DESIGN shirt in retro white and blue stripe,ASOS DESIGN,BLUE,images.asos-media.com/products/asos-design-shirt-in-retro-white-and-blue-stripe/201590626-1-blue,asos design shirt in retro white and blue stripe,"['asos', 'design', 'shirt', 'in', 'retro', 'white', 'and', 'blue', 'stripe']","['asos', 'design', 'shirt', 'retro', 'white', 'blue', 'stripe']","[('asos', 'n'), ('design', 'n'), ('shirt', 'n'), ('retro', 'n'), ('white', 'a'), ('blue', 'a'), ('stripe', 'n')]","['asos', 'design', 'shirt', 'retro', 'white', 'blue', 'stripe']",asos design shirt retro white blue stripe
6,Revolution Skincare Pearlescent Purple Bakuchiol Smoothing Undereye patches,Revolution Skincare,NO COLOUR,images.asos-media.com/products/revolution-skincare-pearlescent-purple-bakuchiol-smoothing-undereye-patches/201480495-1-nocolour,revolution skincare pearlescent purple bakuchiol smoothing undereye patches,"['revolution', 'skincare', 'pearlescent', 'purple', 'bakuchiol', 'smoothing', 'undereye', 'patches']","['revolution', 'skincare', 'pearlescent', 'purple', 'bakuchiol', 'smoothing', 'undereye', 'patches']","[('revolution', 'n'), ('skincare', 'n'), ('pearlescent', 'n'), ('purple', 'a'), ('bakuchiol', 'n'), ('smoothing', 'n'), ('undereye', 'n'), ('patches', 'n')]","['revolution', 'skincare', 'pearlescent', 'purple', 'bakuchiol', 'smoothing', 'undereye', 'patch']",revolution skincare pearlescent purple bakuchiol smoothing undereye patch
7,ASOS DESIGN slim tie in dark rose,ASOS DESIGN,PINK,images.asos-media.com/products/asos-design-slim-tie-in-dark-rose/202929753-1-pink,asos design slim tie in dark rose,"['asos', 'design', 'slim', 'tie', 'in', 'dark', 'rose']","['asos', 'design', 'slim', 'tie', 'dark', 'rose']","[('asos', 'n'), ('design', 'n'), ('slim', 'a'), ('tie', 'n'), ('dark', 'a'), ('rose', 'n')]","['asos', 'design', 'slim', 'tie', 'dark', 'rose']",asos design slim tie dark rose
8,Levi's 512 slim taper jeans in light blue wash,Levi's,MID BLUE,images.asos-media.com/products/levis-512-slim-taper-jeans-in-light-blue-wash/202990889-1-midblue,levis 512 slim taper jeans in light blue wash,"['levis', '512', 'slim', 'taper', 'jeans', 'in', 'light', 'blue', 'wash']","['levis', '512', 'slim', 'taper', 'jeans', 'light', 'blue', 'wash']","[('levis', 'n'), ('512', 'n'), ('slim', 'a'), ('taper', 'v'), ('jeans', 'n'), ('light', 'a'), ('blue', 'a'), ('wash', 'v')]","['levi', '512', 'slim', 'taper', 'jean', 'light', 'blue', 'wash']",levi 512 slim taper jean light blue wash
9,ASOS DESIGN wedding super skinny suit jacket in navy micro texture,ASOS DESIGN,NAVY,images.asos-media.com/products/asos-design-wedding-super-skinny-suit-jacket-in-navy-micro-texture/201000838-1-navy,asos design wedding super skinny suit jacket in navy micro texture,"['asos', 'design', 'wedding', 'super', 'skinny', 'suit', 'jacket', 'in', 'navy', 'micro', 'texture']","['asos', 'design', 'wedding', 'super', 'skinny', 'suit', 'jacket', 'navy', 'micro', 'texture']","[('asos', 'n'), ('design', 'n'), ('wedding', 'n'), ('super', 'a'), ('skinny', 'n'), ('suit', 'n'), ('jacket', 'n'), ('navy', 'n'), ('micro', 'n'), ('texture', 'n')]","['asos', 'design', 'wedding', 'super', 'skinny', 'suit', 'jacket', 'navy', 'micro', 'texture']",asos design wedding super skinny suit jacket navy micro texture
10,adidas Originals 'Wander Hour' fleece with snap buttons in dark green,adidas Originals,COLLEGIATE GREEN,images.asos-media.com/products/adidas-originals-wander-hour-fleece-with-snap-buttons-in-dark-green/203213508-1-collegiategreen,adidas originals wander hour fleece with snap buttons in dark green,"['adidas', 'originals', 'wander', 'hour', 'fleece', 'with', 'snap', 'buttons', 'in', 'dark', 'green']","['adidas', 'originals', 'wander', 'hour', 'fleece', 'snap', 'buttons', 'dark', 'green']","[('adidas', 'n'), ('originals', 'n'), ('wander', 'n'), ('hour', 'n'), ('fleece', 'n'), ('snap', 'n'), ('buttons', 'n'), ('dark', 'a'), ('green', 'a')]","['adidas', 'original', 'wander', 'hour', 'fleece', 'snap', 'button', 'dark', 'green']",adidas original wander hour fleece snap button dark green
11,Topman single breasted slim wedding suit jacket in pink,Topman,Pink,images.asos-media.com/products/topman-single-breasted-slim-wedding-suit-jacket-in-pink/201102173-1-pink,topman single breasted slim wedding suit jacket in pink,"['topman', 'single', 'breasted', 'slim', 'wedding', 'suit', 'jacket', 'in', 'pink']","['topman', 'single', 'breasted', 'slim', 'wedding', 'suit', 'jacket', 'pink']","[('topman', 'n'), ('single', 'n'), ('breasted', 'n'), ('slim', 'a'), ('wedding', 'n'), ('suit', 'n'), ('jacket', 'n'), ('pink', 'a')]","['topman', 'single', 'breasted', 'slim', 'wedding', 'suit', 'jacket', 'pink']",topman single breasted slim wedding suit jacket pink
12,adidas Originals Rekive three stripe t-shirt in blue,adidas Originals,wonder steel,images.asos-media.com/products/adidas-originals-rekive-three-stripe-t-shirt-in-blue/202838038-1-wondersteel,adidas originals rekive three stripe tshirt in blue,"['adidas', 'originals', 'rekive', 'three', 'stripe', 'tshirt', 'in', 'blue']","['adidas', 'originals', 'rekive', 'three', 'stripe', 'tshirt', 'blue']","[('adidas', 'n'), ('originals', 'n'), ('rekive', 'n'), ('three', 'n'), ('stripe', 'n'), ('tshirt', 'n'), ('blue', 'a')]","['adidas', 'original', 'rekive', 'three', 'stripe', 'tshirt', 'blue']",adidas original rekive three stripe tshirt blue
13,ASOS DESIGN skinny fit shirt in navy,ASOS DESIGN,NAVY,images.asos-media.com/products/asos-design-skinny-fit-shirt-in-navy/201173394-1-navy,asos design skinny fit shirt in navy,"['asos', 'design', 'skinny', 'fit', 'shirt', 'in', 'navy']","['asos', 'design', 'skinny', 'fit', 'shirt', 'navy']","[('asos', 'n'), ('design', 'n'), ('skinny', 'n'), ('fit', 'a'), ('shirt', 'n'), ('navy', 'n')]","['asos', 'design', 'skinny', 'fit', 'shirt', 'navy']",asos design skinny fit shirt navy
14,Topman oversized washed t-shirt with rib panel in pink,Topman,GREEN,images.asos-media.com/products/topman-oversized-washed-t-shirt-with-rib-panel-in-pink/201943078-1-green,topman oversized washed tshirt with rib panel in pink,"['topman', 'oversized', 'washed', 'tshirt', 'with', 'rib', 'panel', 'in', 'pink']","['topman', 'oversized', 'washed', 'tshirt', 'rib', 'panel', 'pink']","[('topman', 'n'), ('oversized', 'n'), ('washed', 'v'), ('tshirt', 'n'), ('rib', 'n'), ('panel', 'n'), ('pink', 'a')]","['topman', 'oversized', 'wash', 'tshirt', 'rib', 'panel', 'pink']",topman oversized wash tshirt rib panel pink
15,Jack & Jones Intelligence denim jacket in mid blue,Jack & Jones,Blue Denim,images.asos-media.com/products/jack-jones-intelligence-denim-jacket-in-mid-blue/201859148-1-bluedenim,jack  jones intelligence denim jacket in mid blue,"['jack', 'jones', 'intelligence', 'denim', 'jacket', 'in', 'mid', 'blue']","['jack', 'jones', 'intelligence', 'denim', 'jacket', 'mid', 'blue']","[('jack', 'n'), ('jones', 'n'), ('intelligence', 'n'), ('denim', 'n'), ('jacket', 'n'), ('mid', 'n'), ('blue', 'a')]","['jack', 'jones', 'intelligence', 'denim', 'jacket', 'mid', 'blue']",jack jones intelligence denim jacket mid blue
16,ASOS DESIGN smart slim shorts in black,ASOS DESIGN,Black,images.asos-media.com/products/asos-design-smart-slim-shorts-in-black/23043156-1-black,asos design smart slim shorts in black,"['asos', 'design', 'smart', 'slim', 'shorts', 'in', 'black']","['asos', 'design', 'smart', 'slim', 'shorts', 'black']","[('asos', 'n'), ('design', 'n'), ('smart', 'n'), ('slim', 'a'), ('shorts', 'n'), ('black', 'a')]","['asos', 'design', 'smart', 'slim', 'short', 'black']",asos design smart slim short black
17,Nike Training Dri-FIT HWPO t-shirt in light grey,Nike Training,Grey,images.asos-media.com/products/nike-training-dri-fit-hwpo-t-shirt-in-light-grey/202334365-1-grey,nike training drifit hwpo tshirt in light grey,"['nike', 'training', 'drifit', 'hwpo', 'tshirt', 'in', 'light', 'grey']","['nike', 'training', 'drifit', 'hwpo', 'tshirt', 'light', 'grey']","[('nike', 'n'), ('training', 'n'), ('drifit', 'n'), ('hwpo', 'n'), ('tshirt', 'n'), ('light', 'a'), ('grey', 'n')]","['nike', 'training', 'drifit', 'hwpo', 'tshirt', 'light', 'grey']",nike training drifit hwpo tshirt light grey
18,Nike fleece varsity jacket in dark smoke grey,Nike,DK SMOKE G,images.asos-media.com/products/nike-fleece-varsity-jacket-in-dark-smoke-grey/202751626-1-dksmokeg,nike fleece varsity jacket in dark smoke grey,"['nike', 'fleece', 'varsity', 'jacket', 'in', 'dark', 'smoke', 'grey']","['nike', 'fleece', 'varsity', 'jacket', 'dark', 'smoke', 'grey']","[('nike', 'n'), ('fleece', 'n'), ('varsity', 'n'), ('jacket', 'n'), ('dark', 'a'), ('smoke', 'n'), ('grey', 'n')]","['nike', 'fleece', 'varsity', 'jacket', 'dark', 'smoke', 'grey']",nike fleece varsity jacket dark smoke grey
19,Nike Club 1/4 zip sweat in black,Nike,BLACK,images.asos-media.com/products/nike-club-1-4-zip-sweat-in-black/202289861-1-black,nike club 14 zip sweat in black,"['nike', 'club', '14', 'zip', 'sweat', 'in', 'black']","['nike', 'club', '14', 'zip', 'sweat', 'black']","[('nike', 'n'), ('club', 'n'), ('14', 'n'), ('zip', 'n'), ('sweat', 'n'), ('black', 'a')]","['nike', 'club', '14', 'zip', 'sweat', 'black']",nike club 14 zip sweat black
20,Topman straight jeans in black,Topman,Black,images.asos-media.com/products/topman-straight-jeans-in-black/201481346-1-black,topman straight jeans in black,"['topman', 'straight', 'jeans', 'in', 'black']","['topman', 'straight', 'jeans', 'black']","[('topman', 'n'), ('straight', 'r'), ('jeans', 'n'), ('black', 'a')]","['topman', 'straight', 'jean', 'black']",topman straight jean black
21,Nike Blazer Mid '77 Vintage trainers in black,Nike,black,images.asos-media.com/products/nike-blazer-mid-77-vintage-trainers-in-black/202278687-1-black,nike blazer mid 77 vintage trainers in black,"['nike', 'blazer', 'mid', '77', 'vintage', 'trainers', 'in', 'black']","['nike', 'blazer', 'mid', '77', 'vintage', 'trainers', 'black']","[('nike', 'n'), ('blazer', 'n'), ('mid', 'n'), ('77', 'n'), ('vintage', 'n'), ('trainers', 'n'), ('black', 'a')]","['nike', 'blazer', 'mid', '77', 'vintage', 'trainer', 'black']",nike blazer mid 77 vintage trainer black
22,Nike metal swoosh cap in sesame with metallic silver swoosh,Nike,SESAME/SILVER,images.asos-media.com/products/nike-metal-swoosh-cap-in-sesame-with-metallic-silver-swoosh/202240339-1-sesamesilver,nike metal swoosh cap in sesame with metallic silver swoosh,"['nike', 'metal', 'swoosh', 'cap', 'in', 'sesame', 'with', 'metallic', 'silver', 'swoosh']","['nike', 'metal', 'swoosh', 'cap', 'sesame', 'metallic', 'silver', 'swoosh']","[('nike', 'n'), ('metal', 'n'), ('swoosh', 'n'), ('cap', 'n'), ('sesame', 'n'), ('metallic', 'n'), ('silver', 'n'), ('swoosh', 'n')]","['nike', 'metal', 'swoosh', 'cap', 'sesame', 'metallic', 'silver', 'swoosh']",nike metal swoosh cap sesame metallic silver swoosh
23,Noak 'Camden' slim premium fabric suit jacket in black with stretch,Noak,BLACK,images.asos-media.com/products/noak-camden-slim-premium-fabric-suit-jacket-in-black-with-stretch/202763161-1-black,noak camden slim premium fabric suit jacket in black with stretch,"['noak', 'camden', 'slim', 'premium', 'fabric', 'suit', 'jacket', 'in', 'black', 'with', 'stretch']","['noak', 'camden', 'slim', 'premium', 'fabric', 'suit', 'jacket', 'black', 'stretch']","[('noak', 'n'), ('camden', 'n'), ('slim', 'a'), ('premium', 'n'), ('fabric', 'n'), ('suit', 'n'), ('jacket', 'n'), ('black', 'a'), ('stretch', 'v')]","['noak', 'camden', 'slim', 'premium', 'fabric', 'suit', 'jacket', 'black', 'stretch']",noak camden slim premium fabric suit jacket black stretch
24,Jack & Jones Originals overhead colourblock windbreaker in black & purple,Jack & Jones,Black/Deep lavender,images.asos-media.com/products/jack-jones-originals-overhead-colourblock-windbreaker-in-black-purple/203578422-1-blackdeeplavender,jack  jones originals overhead colourblock windbreaker in black  purple,"['jack', 'jones', 'originals', 'overhead', 'colourblock', 'windbreaker', 'in', 'black', 'purple']","['jack', 'jones', 'originals', 'overhead', 'colourblock', 'windbreaker', 'black', 'purple']","[('jack', 'n'), ('jones', 'n'), ('originals', 'n'), ('overhead', 'n'), ('colourblock', 'n'), ('windbreaker', 'n'), ('black', 'a'), ('purple', 'a')]","['jack', 'jones', 'original', 'overhead', 'colourblock', 'windbreaker', 'black', 'purple']",jack jones original overhead colourblock windbreaker black purple
25,ASOS DESIGN super skinny smart trousers in grey pin dot,ASOS DESIGN,STONE,images.asos-media.com/products/asos-design-super-skinny-smart-trousers-in-grey-pin-dot/200989926-1-stone,asos design super skinny smart trousers in grey pin dot,"['asos', 'design', 'super', 'skinny', 'smart', 'trousers', 'in', 'grey', 'pin', 'dot']","['asos', 'design', 'super', 'skinny', 'smart', 'trousers', 'grey', 'pin', 'dot']","[('asos', 'n'), ('design', 'n'), ('super', 'a'), ('skinny', 'n'), ('smart', 'n'), ('trousers', 'n'), ('grey', 'n'), ('pin', 'n'), ('dot', 'n')]","['asos', 'design', 'super', 'skinny', 'smart', 'trouser', 'grey', 'pin', 'dot']",asos design super skinny smart trouser grey pin dot
26,Nike Air Max Flyknit Racer trainers in gold and hyper royal,Nike,YELLOW,images.asos-media.com/products/nike-air-max-flyknit-racer-trainers-in-gold-and-hyper-royal/202890795-1-yellow,nike air max flyknit racer trainers in gold and hyper royal,"['nike', 'air', 'max', 'flyknit', 'racer', 'trainers', 'in', 'gold', 'and', 'hyper', 'royal']","['nike', 'air', 'max', 'flyknit', 'racer', 'trainers', 'gold', 'hyper', 'royal']","[('nike', 'n'), ('air', 'n'), ('max', 'n'), ('flyknit', 'n'), ('racer', 'n'), ('trainers', 'n'), ('gold', 'a'), ('hyper', 'n'), ('royal', 'a')]","['nike', 'air', 'max', 'flyknit', 'racer', 'trainer', 'gold', 'hyper', 'royal']",nike air max flyknit racer trainer gold hyper royal
27,ASOS DESIGN derby lace up shoes in black leather,ASOS DESIGN,BLACK,images.asos-media.com/products/asos-design-derby-lace-up-shoes-in-black-leather/203024298-1-black,asos design derby lace up shoes in black leather,"['asos', 'design', 'derby', 'lace', 'up', 'shoes', 'in', 'black', 'leather']","['asos', 'design', 'derby', 'lace', 'shoes', 'black', 'leather']","[('asos', 'n'), ('design', 'n'), ('derby', 'n'), ('lace', 'n'), ('shoes', 'n'), ('black', 'a'), ('leather', 'n')]","['asos', 'design', 'derby', 'lace', 'shoe', 'black', 'leather']",asos design derby lace shoe black leather
28,The North Face Regrind back print sweatshirt in off white,The North Face,Off-White,images.asos-media.com/products/the-north-face-regrind-back-print-sweatshirt-in-off-white/203219302-1-offwhite,the north face regrind back print sweatshirt in off white,"['the', 'north', 'face', 'regrind', 'back', 'print', 'sweatshirt', 'in', 'off', 'white']","['north', 'face', 'regrind', 'back', 'print', 'sweatshirt', 'white']","[('north', 'n'), ('face', 'v'), ('regrind', 'n'), ('back', 'r'), ('print', 'n'), ('sweatshirt', 'n'), ('white', 'a')]","['north', 'face', 'regrind', 'back', 'print', 'sweatshirt', 'white']",north face regrind back print sweatshirt white
29,Nike 'Have a Nike Day'  logo sweat in black,Nike,BLACK,images.asos-media.com/products/nike-have-a-nike-day-logo-sweat-in-black/202275270-1-black,nike have a nike day  logo sweat in black,"['nike', 'have', 'a', 'nike', 'day', 'logo', 'sweat', 'in', 'black']","['nike', 'nike', 'day', 'logo', 'sweat', 'black']","[('nike', 'n'), ('nike', 'n'), ('day', 'n'), ('logo', 'n'), ('sweat', 'n'), ('black', 'a')]","['nike', 'nike', 'day', 'logo', 'sweat', 'black']",nike nike day logo sweat black
30,ASOS DESIGN wool mix oversized shacket in navy stripe,ASOS DESIGN,YELLOW,images.asos-media.com/products/asos-design-wool-mix-oversized-shacket-in-navy-stripe/200513422-1-yellow,asos design wool mix oversized shacket in navy stripe,"['asos', 'design', 'wool', 'mix', 'oversized', 'shacket', 'in', 'navy', 'stripe']","['asos', 'design', 'wool', 'mix', 'oversized', 'shacket', 'navy', 'stripe']","[('asos', 'n'), ('design', 'n'), ('wool', 'n'), ('mix', 'n'), ('oversized', 'n'), ('shacket', 'n'), ('navy', 'n'), ('stripe', 'n')]","['asos', 'design', 'wool', 'mix', 'oversized', 'shacket', 'navy', 'stripe']",asos design wool mix oversized shacket navy stripe
31,Jack & Jones Originals overhead colourblock windbreaker in black & grey,Jack & Jones,Black/ Grey,images.asos-media.com/products/jack-jones-originals-overhead-colourblock-windbreaker-in-black-grey/203578405-1-blackgrey,jack  jones originals overhead colourblock windbreaker in black  grey,"['jack', 'jones', 'originals', 'overhead', 'colourblock', 'windbreaker', 'in', 'black', 'grey']","['jack', 'jones', 'originals', 'overhead', 'colourblock', 'windbreaker', 'black', 'grey']","[('jack', 'n'), ('jones', 'n'), ('originals', 'n'), ('overhead', 'n'), ('colourblock', 'n'), ('windbreaker', 'n'), ('black', 'a'), ('grey', 'n')]","['jack', 'jones', 'original', 'overhead', 'colourblock', 'windbreaker', 'black', 'grey']",jack jones original overhead colourblock windbreaker black grey
32,ASOS DESIGN pleated chinos in light beige,ASOS DESIGN,Feather Grey,images.asos-media.com/products/asos-design-pleated-chinos-in-light-beige/202731169-1-feathergrey,asos design pleated chinos in light beige,"['asos', 'design', 'pleated', 'chinos', 'in', 'light', 'beige']","['asos', 'design', 'pleated', 'chinos', 'light', 'beige']","[('asos', 'n'), ('design', 'n'), ('pleated', 'n'), ('chinos', 'n'), ('light', 'a'), ('beige', 'n')]","['asos', 'design', 'pleated', 'chino', 'light', 'beige']",asos design pleated chino light beige
33,Topman tapered wool mix pleat trousers with elasticated waistband in off white,Topman,ECRU,images.asos-media.com/products/topman-tapered-wool-mix-pleat-trousers-with-elasticated-waistband-in-off-white/202559046-1-ecru,topman tapered wool mix pleat trousers with elasticated waistband in off white,"['topman', 'tapered', 'wool', 'mix', 'pleat', 'trousers', 'with', 'elasticated', 'waistband', 'in', 'off', 'white']","['topman', 'tapered', 'wool', 'mix', 'pleat', 'trousers', 'elasticated', 'waistband', 'white']","[('topman', 'n'), ('tapered', 'n'), ('wool', 'n'), ('mix', 'n'), ('pleat', 'n'), ('trousers', 'n'), ('elasticated', 'n'), ('waistband', 'n'), ('white', 'a')]","['topman', 'tapered', 'wool', 'mix', 'pleat', 'trouser', 'elasticated', 'waistband', 'white']",topman tapered wool mix pleat trouser elasticated waistband white
34,ASOS DESIGN rectangle sunglasses in gold with purple lens,ASOS DESIGN,Gold,images.asos-media.com/products/asos-design-rectangle-sunglasses-in-gold-with-purple-lens/14221015-1-gold,asos design rectangle sunglasses in gold with purple lens,"['asos', 'design', 'rectangle', 'sunglasses', 'in', 'gold', 'with', 'purple', 'lens']","['asos', 'design', 'rectangle', 'sunglasses', 'gold', 'purple', 'lens']","[('asos', 'n'), ('design', 'n'), ('rectangle', 'n'), ('sunglasses', 'n'), ('gold', 'a'), ('purple', 'a'), ('lens', 'n')]","['asos', 'design', 'rectangle', 'sunglass', 'gold', 'purple', 'lens']",asos design rectangle sunglass gold purple lens
35,adidas Originals trefoil logo beanie in cream with metallic thread,adidas Originals,Cream,images.asos-media.com/products/adidas-originals-trefoil-logo-beanie-in-cream-with-metallic-thread/24109844-1-cream,adidas originals trefoil logo beanie in cream with metallic thread,"['adidas', 'originals', 'trefoil', 'logo', 'beanie', 'in', 'cream', 'with', 'metallic', 'thread']","['adidas', 'originals', 'trefoil', 'logo', 'beanie', 'cream', 'metallic', 'thread']","[('adidas', 'n'), ('originals', 'n'), ('trefoil', 'n'), ('logo', 'n'), ('beanie', 'n'), ('cream', 'n'), ('metallic', 'n'), ('thread', 'n')]","['adidas', 'original', 'trefoil', 'logo', 'beanie', 'cream', 'metallic', 'thread']",adidas original trefoil logo beanie cream metallic thread
36,adidas Originals Essentials+ fluffy full zip fleece in night indigo,adidas Originals,night indigo,images.asos-media.com/products/adidas-originals-essentials-fluffy-full-zip-fleece-in-night-indigo/203294996-1-nightindigo,adidas originals essentials fluffy full zip fleece in night indigo,"['adidas', 'originals', 'essentials', 'fluffy', 'full', 'zip', 'fleece', 'in', 'night', 'indigo']","['adidas', 'originals', 'essentials', 'fluffy', 'full', 'zip', 'fleece', 'night', 'indigo']","[('adidas', 'n'), ('originals', 'n'), ('essentials', 'n'), ('fluffy', 'n'), ('full', 'a'), ('zip', 'n'), ('fleece', 'n'), ('night', 'n'), ('indigo', 'n')]","['adidas', 'original', 'essential', 'fluffy', 'full', 'zip', 'fleece', 'night', 'indigo']",adidas original essential fluffy full zip fleece night indigo
37,Levi's sweatshirt with collegiate logo in white,Levi's,WHITE,images.asos-media.com/products/levis-sweatshirt-with-collegiate-logo-in-white/203295488-1-white,levis sweatshirt with collegiate logo in white,"['levis', 'sweatshirt', 'with', 'collegiate', 'logo', 'in', 'white']","['levis', 'sweatshirt', 'collegiate', 'logo', 'white']","[('levis', 'n'), ('sweatshirt', 'n'), ('collegiate', 'a'), ('logo', 'n'), ('white', 'a')]","['levi', 'sweatshirt', 'collegiate', 'logo', 'white']",levi sweatshirt collegiate logo white
38,River Island tapered smart trouser in grey check,River Island,Grey,images.asos-media.com/products/river-island-tapered-smart-trouser-in-grey-check/201436790-1-grey,river island tapered smart trouser in grey check,"['river', 'island', 'tapered', 'smart', 'trouser', 'in', 'grey', 'check']","['river', 'island', 'tapered', 'smart', 'trouser', 'grey', 'check']","[('river', 'n'), ('island', 'n'), ('tapered', 'n'), ('smart', 'n'), ('trouser', 'n'), ('grey', 'n'), ('check', 'n')]","['river', 'island', 'tapered', 'smart', 'trouser', 'grey', 'check']",river island tapered smart trouser grey check
39,Levi's 502 tapered fit jeans in light blue wash,Levi's,MID BLUE,images.asos-media.com/products/levis-502-tapered-fit-jeans-in-light-blue-wash/203003065-1-midblue,levis 502 tapered fit jeans in light blue wash,"['levis', '502', 'tapered', 'fit', 'jeans', 'in', 'light', 'blue', 'wash']","['levis', '502', 'tapered', 'fit', 'jeans', 'light', 'blue', 'wash']","[('levis', 'n'), ('502', 'n'), ('tapered', 'n'), ('fit', 'a'), ('jeans', 'n'), ('light', 'a'), ('blue', 'a'), ('wash', 'v')]","['levi', '502', 'tapered', 'fit', 'jean', 'light', 'blue', 'wash']",levi 502 tapered fit jean light blue wash
40,Valentino kimji bum bag exclusive to ASOS in black,Valentino Bags,BLACK,images.asos-media.com/products/valentino-kimji-bum-bag-exclusive-to-asos-in-black/203066054-1-black,valentino kimji bum bag exclusive to asos in black,"['valentino', 'kimji', 'bum', 'bag', 'exclusive', 'to', 'asos', 'in', 'black']","['valentino', 'kimji', 'bum', 'bag', 'exclusive', 'asos', 'black']","[('valentino', 'n'), ('kimji', 'n'), ('bum', 'v'), ('bag', 'n'), ('exclusive', 'a'), ('asos', 'n'), ('black', 'a')]","['valentino', 'kimji', 'bum', 'bag', 'exclusive', 'asos', 'black']",valentino kimji bum bag exclusive asos black
